generic,brand,category,categoryUr,dosageForm,strength,prescription,usesEn,usesUr,sideEn,sideUr,warningEn,warningUr,contraindicationsEn,contraindicationsUr,interactionsEn,interactionsUr,pregnancyEn,pregnancyUr,pediatricEn,pediatricUr,drapRegistrationNo,marketStatus,sourceStatus
ORS,WHO-ORS,Gastrointestinal,دست اور پانی کی کمی,,,False,Oral rehydration for diarrhea/dehydration,دست اور dehydration میں oral rehydration,Usually minimal; vomiting if taken too quickly,عموماً کم؛ تیزی سے پینے پر الٹی ہو سکتی ہے,Correct mixing is essential; severe dehydration needs urgent care.,صحیح مقدار میں بنانا ضروری؛ شدید dehydration میں فوری طبی مدد۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Loperamide,Imodium,Gastrointestinal,دست,,,False,Symptomatic relief of acute non-bloody diarrhea in selected adults,منتخب بالغوں میں acute non-bloody diarrhea کی symptomatic relief,Constipation; abdominal cramps,قبض؛ پیٹ میں مروڑ,"Do not use for bloody diarrhea, high fever or suspected invasive infection without medical advice.",خونی دست، تیز بخار یا invasive infection کے شک میں خود سے نہ لیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Lactulose,Duphalac,Gastrointestinal,قبض,,,False,Constipation; selected hepatic encephalopathy regimens,قبض؛ منتخب hepatic encephalopathy regimens,Bloating; cramps; diarrhea,پیٹ پھولنا؛ مروڑ؛ دست,Adjust dose to stool response; excessive use causes electrolyte issues.,stool response کے مطابق dose؛ زیادہ استعمال electrolyte مسائل پیدا کر سکتا ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Bisacodyl,Dulcolax,Gastrointestinal,قبض,,,False,Short-term constipation relief,قلیل مدتی قبض سے نجات,Cramps; diarrhea,مروڑ؛ دست,Avoid chronic self-use; investigate persistent constipation.,مسلسل خود استعمال سے پرہیز؛ دائمی قبض کی وجہ معلوم کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Senna,Senokot,Gastrointestinal,قبض,,,False,Short-term stimulant laxative use,قلیل مدتی stimulant laxative,Abdominal cramps; diarrhea,پیٹ کے مروڑ؛ دست,Long-term unsupervised use is not recommended.,طویل غیر نگرانی شدہ استعمال مناسب نہیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Metformin,Glucophage,Diabetes,ذیابیطس,,,True,Type 2 diabetes,ٹائپ 2 ذیابیطس,GI upset; diarrhea; nausea; B12 reduction with long-term use,معدے کی تکلیف؛ دست؛ متلی؛ طویل استعمال میں B12 کم ہو سکتا ہے,Renal function and acute illness matter; follow clinician plan.,گردوں کی حالت اور acute illness اہم ہیں؛ clinician plan کے مطابق۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Glimepiride,Amaryl,Diabetes,ذیابیطس,,,True,Type 2 diabetes,ٹائپ 2 ذیابیطس,Hypoglycemia; weight gain,شوگر بہت کم ہونا؛ وزن بڑھنا,Teach hypoglycemia recognition; caution in renal/hepatic impairment.,hypoglycemia کی علامات سمجھیں؛ گردوں/جگر کی بیماری میں احتیاط۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Gliclazide,Diamicron,Diabetes,ذیابیطس,,,True,Type 2 diabetes,ٹائپ 2 ذیابیطس,Hypoglycemia; weight gain,hypoglycemia؛ وزن بڑھنا,Regular meals and glucose monitoring are important.,کھانا باقاعدہ؛ glucose monitoring ضروری۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Sitagliptin,Januvia,Diabetes,ذیابیطس,,,True,Type 2 diabetes,ٹائپ 2 ذیابیطس,Nasopharyngitis; headache; rare pancreatitis,نزلہ جیسی علامات؛ سر درد؛ نایاب pancreatitis,Renal dose adjustment may be needed.,گردوں کی بیماری میں dose adjustment ہو سکتی ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Empagliflozin,Jardiance,Diabetes,ذیابیطس,,,True,Type 2 diabetes; selected cardio-renal indications,ٹائپ 2 ذیابیطس؛ منتخب cardio-renal indications,Genital infections; dehydration; rare ketoacidosis,genital infections؛ dehydration؛ نایاب ketoacidosis,Sick-day guidance and renal function assessment are important.,sick-day guidance اور renal function assessment ضروری۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Insulin human soluble,Actrapid,Diabetes,ذیابیطس,,,True,Insulin-requiring diabetes,انسولین کی ضرورت والی ذیابیطس,Hypoglycemia; weight gain,hypoglycemia؛ وزن بڑھنا,Dose must be individualized; storage and injection technique matter.,خوراک فرد کے مطابق؛ storage اور injection technique اہم۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Amlodipine,Norvasc,Cardiovascular,بلڈ پریشر,,,True,Hypertension; angina,ہائی بلڈ پریشر؛ angina,Ankle edema; flushing; headache,ٹخنوں کی سوجن؛ چہرہ سرخ؛ سر درد,Monitor BP; edema is dose-related in some patients.,بلڈ پریشر مانیٹر کریں؛ بعض میں dose-related edema۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Losartan,Cozaar,Cardiovascular,بلڈ پریشر,,,True,Hypertension; selected heart/kidney indications,ہائی بلڈ پریشر؛ منتخب heart/kidney indications,Dizziness; hyperkalemia,چکر؛ potassium بڑھنا,Avoid in pregnancy; monitor renal function and potassium.,حمل میں منع؛ renal function اور potassium مانیٹر کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Telmisartan,Micardis,Cardiovascular,بلڈ پریشر,,,True,Hypertension; cardiovascular risk reduction in selected patients,ہائی بلڈ پریشر؛ منتخب مریضوں میں cardiovascular risk reduction,Dizziness; hyperkalemia,چکر؛ potassium بڑھنا,Avoid in pregnancy; monitor renal function and potassium.,حمل میں منع؛ renal function اور potassium مانیٹر کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Valsartan,Diovan,Cardiovascular,بلڈ پریشر,,,True,Hypertension; heart failure in selected regimens,ہائی بلڈ پریشر؛ منتخب heart failure regimens,Dizziness; hyperkalemia,چکر؛ potassium بڑھنا,Avoid in pregnancy; monitor kidney function and potassium.,حمل میں منع؛ گردوں اور potassium کی نگرانی۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Enalapril,Renitec,Cardiovascular,بلڈ پریشر,,,True,Hypertension; heart failure,ہائی بلڈ پریشر؛ heart failure,Cough; dizziness; hyperkalemia; angioedema,کھانسی؛ چکر؛ potassium بڑھنا؛ angioedema,Avoid in pregnancy; monitor renal function and potassium.,حمل میں منع؛ renal function اور potassium مانیٹر کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Bisoprolol,Concor,Cardiovascular,دل اور بلڈ پریشر,,,True,Hypertension; angina; heart failure in selected patients,ہائی بلڈ پریشر؛ angina؛ منتخب heart failure,Bradycardia; fatigue; dizziness,دل کی دھڑکن کم؛ تھکن؛ چکر,Do not stop abruptly without clinical advice.,ڈاکٹر کے مشورے کے بغیر اچانک بند نہ کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Atenolol,Tenormin,Cardiovascular,دل اور بلڈ پریشر,,,True,Hypertension; angina in selected patients,ہائی بلڈ پریشر؛ منتخب angina,Bradycardia; fatigue; cold extremities,دل کی دھڑکن کم؛ تھکن؛ ہاتھ پاؤں ٹھنڈے,Caution in asthma and diabetes; do not stop abruptly.,asthma/diabetes میں احتیاط؛ اچانک بند نہ کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Furosemide,Lasix,Cardiovascular,سوجن اور دل,,,True,Edema; heart failure; selected hypertension,edema؛ heart failure؛ منتخب hypertension,Dehydration; electrolyte loss; dizziness,dehydration؛ electrolytes کم؛ چکر,"Monitor electrolytes, renal function and volume status.",electrolytes، renal function اور fluid status مانیٹر کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Spironolactone,Aldactone,Cardiovascular,دل اور سوجن,,,True,Heart failure; edema; selected hypertension/hyperaldosteronism,heart failure؛ edema؛ منتخب hypertension/hyperaldosteronism,Hyperkalemia; breast tenderness; renal effects,potassium بڑھنا؛ breast tenderness؛ renal effects,Monitor potassium and renal function; interactions matter.,potassium اور renal function مانیٹر کریں؛ interactions اہم ہیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Atorvastatin,Lipitor,Lipid Lowering,کولیسٹرول,,,True,Hypercholesterolemia; cardiovascular risk reduction,کولیسٹرول؛ cardiovascular risk reduction,Muscle aches; liver enzyme elevation,پٹھوں میں درد؛ liver enzymes بڑھنا,Review interactions; report unexplained severe muscle pain.,interactions چیک کریں؛ شدید غیر واضح muscle pain رپورٹ کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Rosuvastatin,Crestor,Lipid Lowering,کولیسٹرول,,,True,Hypercholesterolemia; cardiovascular risk reduction,کولیسٹرول؛ cardiovascular risk reduction,Muscle aches; liver enzyme elevation,پٹھوں میں درد؛ liver enzymes بڑھنا,Dose and interactions should be reviewed; avoid in pregnancy.,خوراک/interactions review؛ حمل میں منع۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Clopidogrel,Plavix,Antiplatelet,خون کے لوتھڑے سے بچاؤ,,,True,Prevention of atherothrombotic events in selected patients,منتخب مریضوں میں atherothrombotic events کی روک تھام,Bleeding; bruising; dyspepsia,خون بہنا؛ نیل؛ بدہضمی,Do not stop after stent/ACS without prescriber advice.,stent/ACS کے بعد ڈاکٹر کے بغیر بند نہ کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Warfarin,Marevan,Anticoagulant,خون پتلا,,,True,Prevention/treatment of thromboembolism in selected indications,منتخب indications میں thromboembolism کی روک تھام/علاج,Bleeding,خون بہنا,Requires INR monitoring and interaction/diet management.,INR monitoring اور interactions/diet management ضروری۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Apixaban,Eliquis,Anticoagulant,خون پتلا,,,True,Stroke prevention in AF; VTE treatment/prevention in selected patients,AF میں stroke prevention؛ منتخب VTE indications,Bleeding; anemia,خون بہنا؛ خون کی کمی,Dose depends on indication and patient factors; do not stop abruptly without advice.,indication/patient factors کے مطابق dose؛ بغیر مشورے اچانک بند نہ کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Pregabalin,Lyrica,Neuropathic Pain,اعصابی درد,,,True,Neuropathic pain; selected seizure disorders,اعصابی درد؛ منتخب seizure disorders,Dizziness; somnolence; edema; weight gain,چکر؛ غنودگی؛ سوجن؛ وزن بڑھنا,Controlled/prescription medicine in many settings; tapering may be needed.,prescription دوا؛ بند کرتے وقت tapering کی ضرورت ہو سکتی ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Gabapentin,Neurontin,Neuropathic Pain,اعصابی درد,,,True,Neuropathic pain; selected seizure disorders,اعصابی درد؛ منتخب seizure disorders,Dizziness; somnolence; edema,چکر؛ غنودگی؛ سوجن,Renal dosing and CNS depressant interactions matter.,renal dosing اور CNS depressant interactions اہم ہیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Amitriptyline,Tryptizol,Neuropathic Pain,اعصابی درد,,,True,Neuropathic pain; depression in selected settings,اعصابی درد؛ منتخب حالات میں depression,Drowsiness; dry mouth; constipation,غنودگی؛ منہ خشک؛ قبض,"Caution with cardiac disease, glaucoma and overdose risk.",دل کی بیماری، glaucoma اور overdose risk میں احتیاط۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Escitalopram,Lexapro,Mental Health,ڈپریشن/اضطراب,,,True,Depression; generalized anxiety and related disorders,ڈپریشن؛ anxiety disorders,Nausea; headache; sexual dysfunction,متلی؛ سر درد؛ sexual dysfunction,Prescription medicine; onset is gradual and discontinuation should be supervised.,prescription؛ اثر بتدریج؛ بند کرنا supervised ہونا چاہیے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Sertraline,Zoloft,Mental Health,ڈپریشن/اضطراب,,,True,Depression; anxiety and related disorders,ڈپریشن؛ anxiety disorders,Nausea; diarrhea; sleep/sexual effects,متلی؛ دست؛ نیند/sexual effects,Do not stop abruptly; monitor early adverse effects and interactions.,اچانک بند نہ کریں؛ شروع کے adverse effects/interactions دیکھیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
